Here is summarized precipitation for March, April and May and 10-year periods calculated for Sweden.
Calculations are based on stations in Sweden with daily precipitation observations.

Copyright SMHI 2022

File contains: 
Column 1: Year 
Column 2: Precipitation during spring in Sweden [mm]
Column 3: Running mean [mm]

Year;Precipitation during spring in Sweden;Running mean;
1880;61;84.4;
1881;78;86.1;
1882;129;87.7;
1883;61;89.2;
1884;84;90.7;
1885;105;92.1;
1886;104;93.6;
1887;79;95.0;
1888;97;96.4;
1889;69;97.6;
1890;157;98.7;
1891;96;99.7;
1892;87;100.9;
1893;65;102.7;
1894;121;104.9;
1895;96;107.3;
1896;120;109.1;
1897;134;109.9;
1898;141;109.4;
1899;111;107.8;
1900;78;106.0;
1901;82;104.6;
1902;92;104.1;
1903;113;104.7;
1904;116;105.9;
1905;98;107.3;
1906;124;108.3;
1907;105;108.7;
1908;101;108.3;
1909;134;107.2;
1910;116;105.6;
1911;75;103.6;
1912;108;101.6;
1913;90;99.7;
1914;110;98.0;
1915;89;96.6;
1916;123;95.7;
1917;78;95.6;
1918;47;96.5;
1919;88;98.4;
1920;159;101.1;
1921;83;104.1;
1922;107;107.0;
1923;92;109.4;
1924;150;111.1;
1925;92;111.9;
1926;123;111.7;
1927;151;110.8;
1928;73;109.4;
1929;98;107.7;
1930;107;106.1;
1931;122;104.7;
1932;115;103.5;
1933;71;102.5;
1934;107;101.6;
1935;90;100.5;
1936;113;98.8;
1937;128;96.4;
1938;99;93.4;
1939;72;90.2;
1940;93;87.5;
1941;45;86.1;
1942;81;86.3;
1943;73;88.1;
1944;104;90.9;
1945;122;94.2;
1946;79;97.6;
1947;82;100.7;
1948;120;103.1;
1949;114;104.6;
1950;126;105.0;
1951;103;104.3;
1952;94;102.6;
1953;111;100.4;
1954;99;98.0;
1955;105;95.9;
1956;50;94.6;
1957;88;93.9;
1958;112;93.8;
1959;114;94.0;
1960;72;94.2;
1961;100;94.7;
1962;117;95.7;
1963;82;97.9;
1964;48;101.5;
1965;88;106.3;
1966;140;111.6;
1967;145;116.4;
1968;136;119.6;
1969;118;120.6;
1970;152;119.5;
1971;92;116.7;
1972;136;113.0;
1973;126;109.3;
1974;46;106.7;
1975;109;105.5;
1976;69;106.0;
1977;147;107.7;
1978;93;110.2;
1979;154;113.0;
1980;75;115.6;
1981;109;117.8;
1982;138;119.6;
1983;172;120.6;
1984;63;121.0;
1985;135;120.7;
1986;147;119.8;
1987;107;118.5;
1988;102;117.1;
1989;142;115.8;
1990;95;115.0;
1991;97;115.0;
1992;147;115.9;
1993;70;117.8;
1994;108;120.3;
1995;180;123.1;
1996;107;125.8;
1997;125;127.9;
1998;121;129.1;
1999;153;129.2;
2000;148;128.2;
2001;126;126.3;
2002;115;123.9;
2003;125;121.4;
2004;91;119.4;
2005;106;117.8;
2006;151;116.5;
2007;114;115.5;
2008;113;114.6;
2009;94;113.9;
2010;125;113.7;
2011;104;114.2;
2012;122;115.2;
2013;82;116.4;
2014;124;117.6;
2015;173;118.2;
2016;124;118.3;
2017;94;117.9;
2018;81;117.4;
2019;157;117.1;
2020;92;117.1;
2021;133;117.4;